,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,10days_june,increased Rainfall
3858,SOUTH INTERIOR KARNATAKA,1987,0.3,0.0,4.5,9.2,64.2,135.7,114.9,151.7,139.9,205.4,76.9,31.9,934.7,0.3,77.9,542.3,314.2,0,45.23333333333333,71.49999999999999
3859,SOUTH INTERIOR KARNATAKA,1988,0.2,2.9,11.9,71.4,84.9,68.0,276.0,251.3,199.2,30.6,5.9,19.9,1022.2,3.1,168.2,794.6,56.4,0,22.666666666666668,16.900000000000006
3860,SOUTH INTERIOR KARNATAKA,1989,0.0,0.1,12.5,24.0,53.3,145.0,286.3,135.0,149.4,86.9,15.7,5.2,913.5,0.1,89.8,715.7,107.9,0,48.333333333333336,91.7
3861,SOUTH INTERIOR KARNATAKA,1990,4.0,0.1,5.0,15.2,115.1,130.1,148.5,193.8,59.0,128.5,47.0,2.2,848.5,4.2,135.3,531.3,177.7,0,43.36666666666667,15.0
3862,SOUTH INTERIOR KARNATAKA,1991,1.0,0.1,2.6,64.2,108.6,248.9,261.9,165.5,115.8,192.5,60.0,0.1,1221.2,1.1,175.3,792.2,252.6,0,82.96666666666667,140.3
3863,SOUTH INTERIOR KARNATAKA,1992,0.2,0.3,0.0,28.6,78.9,269.4,202.1,215.9,145.5,113.5,146.5,0.2,1201.0,0.4,107.5,832.9,260.2,0,89.8,190.49999999999997
3864,SOUTH INTERIOR KARNATAKA,1993,0.0,0.5,6.2,22.9,66.4,149.0,204.7,189.9,105.3,234.5,25.0,33.7,1038.1,0.5,95.5,648.9,293.2,0,49.666666666666664,82.6
3865,SOUTH INTERIOR KARNATAKA,1994,11.7,2.4,3.9,54.6,70.9,184.9,336.4,132.6,96.4,238.6,24.8,0.5,1157.8,14.1,129.4,750.4,263.9,0,61.63333333333333,114.0
3866,SOUTH INTERIOR KARNATAKA,1995,4.2,0.2,3.5,32.1,70.9,79.6,248.4,179.8,135.6,98.8,30.1,0.0,883.2,4.4,106.5,643.4,128.9,0,26.53333333333333,8.699999999999989
3867,SOUTH INTERIOR KARNATAKA,1996,1.1,0.2,1.5,49.8,52.8,204.4,187.3,187.4,188.3,132.9,10.9,27.5,1044.0,1.3,104.0,767.5,171.2,0,68.13333333333334,151.60000000000002
3868,SOUTH INTERIOR KARNATAKA,1997,4.9,0.1,26.2,26.0,45.3,178.9,251.7,246.8,108.4,134.4,123.8,33.6,1180.0,4.9,97.5,785.8,291.8,0,59.63333333333333,133.60000000000002
3869,SOUTH INTERIOR KARNATAKA,1998,0.0,0.0,3.5,31.6,47.0,155.6,278.4,205.5,175.8,148.9,55.0,11.7,1113.3,0.1,82.2,815.4,215.7,0,51.86666666666667,108.6
3870,SOUTH INTERIOR KARNATAKA,1999,0.1,4.6,1.5,42.2,131.2,129.5,289.6,138.8,108.0,271.9,28.8,3.5,1149.6,4.7,174.9,665.9,304.2,0,43.166666666666664,1.6999999999999886
3871,SOUTH INTERIOR KARNATAKA,2000,1.4,15.5,0.3,46.3,59.3,167.5,200.5,300.6,183.5,206.2,14.1,12.1,1207.2,16.9,105.9,852.1,232.3,0,55.833333333333336,108.2
